"Time (s)","Velocity (m/s)","Gyroscope y (rad/s)"
1.362123353E1,9.235369071E-6,1.679158013E-4
1.366189286E1,9.235369071E-6,1.679158013E-4
1.370255952E1,8.359775529E-7,1.519959187E-5
1.374321936E1,1.763476379E-5,3.206320689E-4
1.378388730E1,9.235372272E-6,1.679158595E-4
1.382454752E1,9.235369071E-6,1.679158013E-4
1.386520775E1,9.235370671E-6,1.679158304E-4
1.390587364E1,8.359743515E-7,1.519953366E-5
1.394653425E1,9.235369071E-6,1.679158013E-4
1.398720052E1,1.763476219E-5,3.206320398E-4
1.402787308E1,-2.436220500E-5,-4.429491819E-4
1.406853447E1,1.763476379E-5,3.206320689E-4
1.410919882E1,-4.116099124E-5,-7.483816589E-4
1.414985484E1,9.235370671E-6,1.679158304E-4
1.419051820E1,9.235370671E-6,1.679158304E-4
1.423115152E1,-1.596281189E-5,-2.902329434E-4
1.427181964E1,-7.563418767E-6,-1.375167049E-4
1.431247644E1,8.359775529E-7,1.519959187E-5
1.435313380E1,1.763476379E-5,3.206320689E-4
1.439380352E1,2.603415531E-5,4.733482783E-4
1.443445980E1,9.235370671E-6,1.679158304E-4
1.447511306E1,9.235370671E-6,1.679158304E-4
1.451578011E1,-1.596281189E-5,-2.902329434E-4
1.455644356E1,-6.635917060E-5,-1.206530374E-3
1.459710500E1,-5.795977748E-5,-1.053814136E-3
1.463775727E1,-7.475856371E-5,-1.359246613E-3
1.467841279E1,-8.315795683E-5,-1.511962852E-3
1.471907287E1,-9.155735315E-5,-1.664679148E-3
1.475973653E1,-7.475856371E-5,-1.359246613E-3
1.480040136E1,-4.116099124E-5,-7.483816589E-4
1.484105801E1,-7.475856371E-5,-1.359246613E-3
1.488172136E1,-7.563417166E-6,-1.375166757E-4
1.492237760E1,-3.276159812E-5,-5.956654204E-4
1.496302545E1,-7.563418767E-6,-1.375167049E-4
1.500369316E1,-2.436220340E-5,-4.429491528E-4
1.504435696E1,1.763476379E-5,3.206320689E-4
1.508502399E1,8.359743515E-7,1.519953366E-5
1.512565916E1,9.235369071E-6,1.679158013E-4
1.516635473E1,8.359775529E-7,1.519959187E-5
1.520697901E1,8.359743515E-7,1.519953366E-5
1.524764579E1,8.359743515E-7,1.519953366E-5
1.528830600E1,-7.563418767E-6,-1.375167049E-4
1.532897429E1,9.235370671E-6,1.679158304E-4
1.536963034E1,-7.563418767E-6,-1.375167049E-4
1.541031260E1,-7.563418767E-6,-1.375167049E-4
1.545094126E1,9.235369071E-6,1.679158013E-4
1.549159557E1,8.359759522E-7,1.519956277E-5
1.553225835E1,3.443355003E-5,6.260645459E-4
1.557291725E1,9.235370671E-6,1.679158304E-4
1.561359608E1,-4.116098964E-5,-7.483816298E-4
1.565425748E1,3.443355003E-5,6.260645459E-4
1.569494326E1,9.235369071E-6,1.679158013E-4
1.573561342E1,-1.596281028E-5,-2.902329143E-4
1.577627987E1,8.359743515E-7,1.519953366E-5
1.581694674E1,-2.436220500E-5,-4.429491819E-4
1.585761107E1,2.603415691E-5,4.733483074E-4
1.589826894E1,-1.596281189E-5,-2.902329434E-4
1.593892725E1,-7.563417166E-6,-1.375166757E-4
1.597959186E1,-4.116099124E-5,-7.483816589E-4
1.602023955E1,8.359775529E-7,1.519959187E-5
1.606090527E1,8.359743515E-7,1.519953366E-5
1.610157352E1,8.359743515E-7,1.519953366E-5
1.614225967E1,9.235369071E-6,1.679158013E-4
1.618292745E1,8.359743515E-7,1.519953366E-5
1.622357321E1,1.763476219E-5,3.206320398E-4
1.626421163E1,-7.563418767E-6,-1.375167049E-4
1.630484766E1,-7.563415566E-6,-1.375166466E-4
1.634550344E1,5.963173418E-5,1.084213349E-3
1.638613909E1,8.359759522E-7,1.519956277E-5
1.642680690E1,9.235369071E-6,1.679158013E-4
1.646744255E1,9.235369071E-6,1.679158013E-4
1.650810482E1,1.763476379E-5,3.206320689E-4
1.654877097E1,2.603415691E-5,4.733483074E-4
1.658944449E1,-7.563415566E-6,-1.375166466E-4
1.663011849E1,-7.563418767E-6,-1.375167049E-4
1.667079285E1,2.603415531E-5,4.733482783E-4
1.671144282E1,1.763476379E-5,3.206320689E-4
1.675212027E1,8.359775529E-7,1.519959187E-5
1.679277466E1,-1.596281189E-5,-2.902329434E-4
1.683344548E1,-7.563418767E-6,-1.375167049E-4
1.687410894E1,-7.563418767E-6,-1.375167049E-4
1.691477748E1,9.235367470E-6,1.679157722E-4
1.695543652E1,-2.436220340E-5,-4.429491528E-4
1.699609291E1,8.359759522E-7,1.519956277E-5
1.703676584E1,9.235367470E-6,1.679157722E-4
1.707743281E1,2.603415531E-5,4.733482783E-4
1.711806824E1,-7.563417166E-6,-1.375166757E-4
1.715873978E1,-7.563418767E-6,-1.375167049E-4
1.719941049E1,-7.563418767E-6,-1.375167049E-4
1.724006755E1,9.235370671E-6,1.679158304E-4
1.728073344E1,-2.436220500E-5,-4.429491819E-4
